,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
1514,BTCUSDT,-3159.63,-6.793,45291.88514304,46517.68,43353.35,0.043266,43340.39,0.018242,43352.36,0.028975,46512.98,47557.14,43273.4,77427.909306,3506855975.15306,1614440598552.0,1614526998552.0,673770415.0,675580003.0,1809589.0
1515,BTCUSDT,-3164.43,-6.805,45291.72459491,46504.16,43339.73,0.271566,43339.73,0.141707,43339.74,0.387749,46504.16,47557.14,43273.4,77421.203803,3506539840.4520783,1614440599558.0,1614526999558.0,673770482.0,675580037.0,1809556.0
1516,BTCUSDT,-3199.28,-6.877,45291.56791387,46521.62,43324.68,0.002566,43318.46,0.018673,43324.43,0.028046,46523.96,47557.14,43273.4,77421.394506,3506536347.254892,1614440600989.0,1614527000989.0,673770529.0,675580123.0,1809595.0
1517,BTCUSDT,-3208.14,-6.892,45291.53480322,46538.46,43337.95,0.095691,43330.08,0.26,43337.95,0.28528,46546.09,47557.14,43273.4,77421.871459,3506555385.715706,1614440601556.0,1614527001556.0,673770548.0,675580155.0,1809608.0
1518,BTCUSDT,-3197.01,-6.867,45291.42784425,46556.43,43359.44,0.060506,43359.44,0.046339,43364.58,0.240695,46556.45,47557.14,43273.4,77424.848729,3506681949.561717,1614440602990.0,1614527002990.0,673770588.0,675580231.0,1809644.0
1519,BTCUSDT,-3180.54,-6.833,45291.40760429,46550.73,43365.56,0.030289,43365.56,0.419303,43365.57,0.14384,46546.1,47557.14,43273.4,77423.847778,3506635048.0061135,1614440603514.0,1614527003514.0,673770611.0,675580245.0,1809635.0
1520,BTCUSDT,-3154.33,-6.779,45291.38720943,46538.32,43373.72,0.014389,43373.72,0.071201,43376.42,0.140657,46528.05,47557.14,43273.4,77423.933081,3506637332.448468,1614440604490.0,1614527004490.0,673770631.0,675580274.0,1809644.0
1521,BTCUSDT,-3170.26,-6.814,45291.33808228,46528.11,43357.84,0.005715,43357.85,0.027649,43363.29,0.0003,46528.1,47557.14,43273.4,77424.353994,3506652592.5440087,1614440606005.0,1614527006005.0,673770645.0,675580323.0,1809679.0
1522,BTCUSDT,-3165.0,-6.804,45291.32967832,46516.61,43351.6,0.009307,43351.21,0.002075,43357.83,0.002075,46516.6,47557.14,43273.4,77424.086955,3506639847.321997,1614440606552.0,1614527006552.0,673770655.0,675580335.0,1809681.0
1523,BTCUSDT,-3149.79,-6.772,45291.29560237,46514.46,43364.67,0.001156,43364.67,0.107771,43364.68,0.26,46514.46,47557.14,43273.4,77424.885973,3506673397.5826597,1614440607560.0,1614527007560.0,673770669.0,675580370.0,1809702.0
1524,BTCUSDT,-3143.09,-6.757,45291.26889519,46514.45,43371.34,0.006354,43364.71,0.079083,43364.72,0.44039,46514.43,47557.14,43273.4,77425.539898,3506700946.8756156,1614440608532.0,1614527008532.0,673770679.0,675580390.0,1809712.0
1525,BTCUSDT,-3160.99,-6.795,45291.23846481,46520.03,43359.06,0.040194,43356.77,0.055546,43356.89,0.26,46520.05,47557.14,43273.4,77425.225118,3506684334.011223,1614440609453.0,1614527009453.0,673770696.0,675580400.0,1809705.0
1526,BTCUSDT,-3151.95,-6.775,45291.19618385,46527.67,43371.9,0.057827,43371.9,0.685477,43371.91,0.174247,46523.85,47557.14,43273.4,77425.99161,3506715775.737343,1614440610564.0,1614527010564.0,673770713.0,675580425.0,1809713.0
1527,BTCUSDT,-3173.23,-6.818,45291.16635937,46545.24,43371.9,0.090045,43371.07,0.52,43371.91,0.158899,46545.13,47557.14,43273.4,77425.020546,3506669485.9266157,1614440611515.0,1614527011515.0,673770735.0,675580439.0,1809705.0
1528,BTCUSDT,-3151.46,-6.774,45291.03269271,46522.53,43371.07,0.502952,43371.07,0.016528,43371.08,0.522485,46522.53,47557.14,43273.4,77420.37275,3506448633.3017254,1614440612563.0,1614527012563.0,673770781.0,675580486.0,1809706.0
1529,BTCUSDT,-3169.49,-6.81,45290.94090323,46537.96,43369.19,0.000696,43355.56,0.002075,43368.66,0.025518,46538.68,47557.14,43273.4,77421.287365,3506482950.6999726,1614440613603.0,1614527013603.0,673770795.0,675580535.0,1809741.0
1530,BTCUSDT,-3166.55,-6.805,45290.92759923,46534.41,43367.76,0.000576,43367.76,0.493615,43367.77,1.2e-05,46534.31,47557.14,43273.4,77420.626439,3506451986.7354918,1614440614559.0,1614527014559.0,673770815.0,675580544.0,1809730.0
1531,BTCUSDT,-3156.35,-6.783,45290.90824719,46534.31,43376.89,0.009752,43376.12,0.122202,43380.21,0.140619,46533.24,47557.14,43273.4,77421.195873,3506476278.671769,1614440615574.0,1614527015574.0,673770824.0,675580566.0,1809743.0
1532,BTCUSDT,-3132.25,-6.733,45290.84693323,46525.58,43390.6,0.004,43390.6,0.196,43390.61,0.307659,46522.85,47557.14,43273.4,77420.592563,3506444207.251049,1614440616568.0,1614527016568.0,673770861.0,675580597.0,1809737.0
1533,BTCUSDT,-3139.08,-6.748,45290.78842713,46517.33,43378.47,0.010622,43378.49,0.002074,43391.46,0.015279,46517.55,47557.14,43273.4,77420.541496,3506437364.8093753,1614440617577.0,1614527017577.0,673770892.0,675580634.0,1809743.0
1534,BTCUSDT,-3161.32,-6.794,45290.77367114,46533.22,43372.45,0.000396,43372.45,0.07752,43376.29,0.52,46533.77,47557.14,43273.4,77420.818032,3506448746.921738,1614440618477.0,1614527018477.0,673770918.0,675580646.0,1809729.0
1535,BTCUSDT,-3155.06,-6.78,45290.68812287,46540.66,43380.16,0.000477,43380.16,0.073524,43382.08,0.26,46535.22,47557.14,43273.4,77423.677837,3506571646.2411847,1614440619568.0,1614527019568.0,673770927.0,675580685.0,1809759.0
1536,BTCUSDT,-3147.33,-6.763,45290.68022033,46528.35,43387.08,0.003526,43380.47,0.002074,43385.33,0.076991,46534.41,47557.14,43273.4,77423.754154,3506574490.846336,1614440620492.0,1614527020492.0,673770938.0,675580704.0,1809767.0
1537,BTCUSDT,-3142.56,-6.753,45290.66604922,46546.26,43391.68,0.011967,43391.89,0.150541,43397.63,1.543722,46534.24,47557.14,43273.4,77423.322839,3506553859.121901,1614440621567.0,1614527021567.0,673770946.0,675580712.0,1809767.0
1538,BTCUSDT,-3139.93,-6.747,45290.65375878,46540.66,43396.98,0.250671,43392.17,0.026202,43394.31,0.020803,46536.91,47557.14,43273.4,77423.365476,3506554838.6131024,1614440622582.0,1614527022582.0,673770958.0,675580721.0,1809764.0
1539,BTCUSDT,-3134.18,-6.735,45290.60663827,46528.0,43400.0,1.176443,43399.99,0.762896,43400.0,0.258927,46534.18,47557.14,43273.4,77424.15062,3506586750.032489,1614440623525.0,1614527023525.0,673770972.0,675580742.0,1809771.0
1540,BTCUSDT,-3116.77,-6.699,45290.58596109,46521.57,43411.23,0.024846,43411.23,1.019264,43411.24,0.637982,46528.0,47557.14,43273.4,77424.766073,3506613023.34611,1614440624411.0,1614527024411.0,673770988.0,675580781.0,1809794.0
1541,BTCUSDT,-3114.51,-6.693,45290.54078902,46535.28,43420.66,0.029316,43416.73,0.043207,43426.97,0.024495,46535.17,47557.14,43273.4,77425.713807,3506652449.2951097,1614440625578.0,1614527025578.0,673770998.0,675580812.0,1809815.0
1542,BTCUSDT,-3111.88,-6.687,45290.49522888,46535.23,43423.34,0.000825,43420.95,0.084935,43423.34,0.050889,46535.22,47557.14,43273.4,77427.370063,3506723934.4232783,1614440626577.0,1614527026577.0,673771007.0,675580857.0,1809851.0
1543,BTCUSDT,-3104.94,-6.672,45290.43443073,46535.23,43430.29,0.309344,43424.97,0.020781,43432.4,0.001498,46535.23,47557.14,43273.4,77429.174916,3506800969.55866,1614440627587.0,1614527027587.0,673771022.0,675580904.0,1809883.0
1544,BTCUSDT,-3095.11,-6.651,45290.41483873,46535.09,43440.07,0.039,43440.06,0.611057,43440.07,0.021487,46535.18,47557.14,43273.4,77429.354539,3506807587.766055,1614440628573.0,1614527028573.0,673771035.0,675580935.0,1809901.0
1545,BTCUSDT,-3109.58,-6.683,45290.38896896,46531.81,43422.22,0.014548,43422.22,0.007169,43429.09,0.52,46531.8,47557.14,43273.4,77430.188086,3506843336.3542986,1614440629596.0,1614527029596.0,673771047.0,675580984.0,1809938.0
1546,BTCUSDT,-3105.14,-6.673,45290.35051146,46531.07,43429.08,0.00346,43420.65,0.002072,43429.06,0.002071,46534.22,47557.14,43273.4,77431.039409,3506878915.2999496,1614440630517.0,1614527030517.0,673771054.0,675581013.0,1809960.0
1547,BTCUSDT,-3128.34,-6.722,45290.30115672,46537.44,43411.66,0.000658,43411.66,0.001414,43419.57,0.002072,46540.0,47557.14,43273.4,77430.79984,3506864243.5595574,1614440631569.0,1614527031569.0,673771076.0,675581044.0,1809969.0
1548,BTCUSDT,-3143.93,-6.756,45290.16097427,46543.47,43392.17,0.011311,43391.68,0.006919,43392.57,0.004607,46536.1,47557.14,43273.4,77436.291354,3507102100.6731396,1614440632591.0,1614527032591.0,673771094.0,675581103.0,1810010.0
1549,BTCUSDT,-3132.43,-6.732,45289.88063073,46532.69,43400.28,0.013927,43408.84,1.0,43421.91,0.045098,46532.71,47557.14,43273.4,77447.33827,3507580705.4162745,1614440633587.0,1614527033587.0,673771121.0,675581190.0,1810070.0
1550,BTCUSDT,-3132.59,-6.73,45289.84858423,46545.93,43413.33,0.069878,43413.33,0.030185,43413.34,0.025538,46545.92,47557.14,43273.4,77446.064327,3507520526.8144994,1614440634573.0,1614527034573.0,673771147.0,675581203.0,1810057.0
1551,BTCUSDT,-3115.86,-6.696,45289.76794608,46533.0,43416.8,0.056963,43413.36,0.002072,43416.42,0.27846,46532.66,47557.14,43273.4,77448.87684,3507641659.768062,1614440635596.0,1614527035596.0,673771154.0,675581243.0,1810090.0
1552,BTCUSDT,-3102.86,-6.67,45289.72816807,46528.72,43413.9,0.006,43413.92,0.002072,43417.57,0.006,46516.76,47557.14,43273.4,77449.23364,3507654738.3813233,1614440636538.0,1614527036538.0,673771182.0,675581284.0,1810103.0
1553,BTCUSDT,-3103.7,-6.671,45289.70065431,46523.7,43420.34,0.003605,43420.33,0.022765,43428.53,0.018863,46524.04,47557.14,43273.4,77449.955106,3507685282.4404907,1614440637603.0,1614527037603.0,673771195.0,675581330.0,1810136.0
1554,BTCUSDT,-3107.51,-6.678,45289.69132796,46532.33,43425.41,0.000253,43418.36,0.002072,43424.78,0.090289,46532.92,47557.14,43273.4,77450.135792,3507692743.3283157,1614440638509.0,1614527038509.0,673771204.0,675581347.0,1810144.0
1555,BTCUSDT,-3108.37,-6.681,45289.66207527,46534.28,43415.86,0.055,43415.85,0.04134,43415.86,0.076624,46524.23,47557.14,43273.4,77451.062534,3507732449.53529,1614440639593.0,1614527039593.0,673771213.0,675581367.0,1810155.0
1556,BTCUSDT,-3127.23,-6.72,45289.63915868,46535.52,43407.42,0.041556,43402.2,0.26,43407.2,0.002072,46534.65,47557.14,43273.4,77450.613012,3507710315.932196,1614440640523.0,1614527040523.0,673771227.0,675581382.0,1810156.0
1557,BTCUSDT,-3113.77,-6.694,45289.57496015,46536.8,43404.08,0.060005,43388.85,0.002073,43400.0,0.0021,46517.85,47557.14,43273.4,77451.157961,3507730024.224811,1614440641530.0,1614527041530.0,673771257.0,675581417.0,1810161.0
